text,label
"Everyone forgets Jokic averaged a triple-double through the playoffs while basically carrying a roster with no other All-Star. You don't fluke that. Volume and efficiency, from a center, and we've genuinely never seen it before.",analysis
"The on/off splits say it all. Wolves were +9.1 per 100 with Gobert anchoring the paint and roughly league average without him. Rim protection travels in the playoffs, that's the whole reason they jumped a tier.",analysis
"Comparing him to MJ kinda ignores pace. Jordan played in an era around 91 possessions a game, we're closer to 99 now. Per possession the scoring gap is way smaller than the raw PPG makes it look.",analysis
"Boston's whole thing is the 0.5 second rule, catch decide move within half a second. It's why their corner three rate led the league and their assist percentage jumped after the Porzingis trade.",analysis
"The Clippers gave up a 27 year old All-NBA wing, an All-Star guard and a pile of unprotected picks for George. Like the player or not, that pick capital is what kept them out of the lottery protection conversation for years.",analysis
"Embiid's free throw rate is basically his whole offense. When the refs let teams get physical in the playoffs his TS% drops like six points, and that's the difference between a 30 piece and a 22 point grind.",analysis
"Historically, teams that win the offensive rebounding battle by 5+ in a series win it around 70% of the time. OKC crashing the glass isn't random, it's a deliberate variance play.",analysis
"Chart his shot diet and 38% of his attempts are pull up threes. Those are hard shots, so the low efficiency takes kinda ignore how tough the looks he's creating actually are.",analysis
"Pacers offense fell off for a simple spacing reason. With Turner stretching the floor Haliburton had a driving lane. No real five who shoots and the paint clogs, then his assist numbers crater.",analysis
"Furthest draft pick to make an All-Star team is pretty much Isaiah Thomas at 60th before the injuries got him. Sikma went 8th, so the 'nobody saw it coming' framing doesn't really hold up.",analysis
"Win shares get noisy in small samples but across 82 games they line up well with team success. His 13.2 last year was top five in the league and the eye test backs up the volume.",analysis
"Switch everything only works if all five guys can actually hold up on an island. The second you've got one non-switchable defender, playoff offenses hunt him every possession.",analysis
"The Luka trade looks lopsided because Dallas took back an injury prone center and a role player for a 25 year old top three offensive engine. Debate the fit all you want, on pure asset value it's hard to defend.",analysis
"His true shooting jumped from 56 to 61 after they staggered his minutes with the bench unit. More touches against second units pumped up the efficiency, so context matters before you crown the leap as real growth.",analysis
Defensive rating doesn't capture how much he disrupts without fouling. His deflection rate and the fact opponents shot 9% worse at the rim against him tell a story the box score totally misses.,analysis
"The 73 win Warriors had a +10.8 net rating. This year's best team is at +8.9. The regular season dominance just isn't on the same level historically, even if the talent feels comparable.",analysis
Rookie scoring is up across the league mostly because of pace and three point volume. Adjust for usage and the efficiency for this class is pretty pedestrian.,analysis
